Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
HouseholdEvent_AmandaPrivatePressure_12dc20fa		Аманда: Тогда научись лучше наживку цеплять.	game/Inn/HouseholdMiniEvents.rpy	159	"[what]"
HouseholdEvent_AmandaPrivatePressure_f3e7c1bd		Она принимает это плохо, но все же принимает.	game/Inn/HouseholdMiniEvents.rpy	163	"[what]"
HouseholdEvent_SandraPrivateCheck_47359fd7		Сандра появляется не вовремя и с лицом человека, который прекрасно это понимает.	game/Inn/HouseholdMiniEvents.rpy	172	"[what]"
HouseholdEvent_SandraPrivateCheck_27fa8016		Сандра: Хотела посмотреть, ты управляешь домом или дом уже управляет тобой.	game/Inn/HouseholdMiniEvents.rpy	174	"[what]"
HouseholdEvent_SandraPrivateCheck_9d3e9b3c		Она оглядывается вокруг, не обвиняя напрямую, и от этого становится только хуже.	game/Inn/HouseholdMiniEvents.rpy	176	"[what]"
HouseholdEvent_SandraPrivateCheck_8c1eac69		Сандра: Порядка. Надежности. И чтобы девки не рвали друг друга за объедки.	game/Inn/HouseholdMiniEvents.rpy	180	"[what]"
HouseholdEvent_SandraPrivateCheck_b27527cb		Сандра: Тогда управляй.	game/Inn/HouseholdMiniEvents.rpy	185	"[what]"
HouseholdEvent_SandraPrivateCheck_3548512b		Сандра долго изучает вас взглядом.	game/Inn/HouseholdMiniEvents.rpy	189	"[what]"
HouseholdEvent_SandraPrivateCheck_67889c90		Сандра: Тогда перестань награждать беспорядок.	game/Inn/HouseholdMiniEvents.rpy	190	"[what]"
HouseholdEvent_ThreeWomenConverge_afc663d1		Редкое утро начинается без ссоры.	game/Inn/HouseholdMiniEvents.rpy	198	"[what]"
HouseholdEvent_ThreeWomenConverge_daed82f4		У Сандры записи, у Мелиссы цифры, у Аманды возражения, но смотрят они все на одну и ту же проблему.	game/Inn/HouseholdMiniEvents.rpy	200	"[what]"
HouseholdEvent_ThreeWomenConverge_702a2afe		Сандра: Если дом держится, все едят.	game/Inn/HouseholdMiniEvents.rpy	202	"[what]"
HouseholdEvent_ThreeWomenConverge_b45151c6		Мелисса: Если все едят, все ведут себя лучше.	game/Inn/HouseholdMiniEvents.rpy	204	"[what]"
HouseholdEvent_ThreeWomenConverge_0b17d5c8		Аманда: Не делайте вид, будто это так благородно. Я все равно хочу свою долю.	game/Inn/HouseholdMiniEvents.rpy	206	"[what]"
HouseholdEvent_ThreeWomenConverge_5852370f		Сандра почти улыбается.	game/Inn/HouseholdMiniEvents.rpy	208	"[what]"
HouseholdEvent_ThreeWomenConverge_890de6b7		Сандра: Хорошо. Если хочешь долю, значит, собираешься остаться.	game/Inn/HouseholdMiniEvents.rpy	210	"[what]"
HouseholdEvent_ThreeWomenConverge_69ec3898		На редкое мгновение все трое будто принимают это.	game/Inn/HouseholdMiniEvents.rpy	214	"[what]"
HouseholdEvent_ThreeWomenConverge_b515c467		Аманде нравится слово "награды". Мелиссе - "когда". Сандре - "поднимется".	game/Inn/HouseholdMiniEvents.rpy	218	"[what]"
HouseholdBarberRequestEvent_d51f2c38		[MainTxt]	game/Inn/HouseholdRuntimeEvents.rpy	468	"[what]"
Intro_d51f2c38		[MainTxt]	game/Inn/Intro.rpy	445	"[what]"
TavernAmandaRoomGropeAction_f7779dd0		\nОтбросив сомнения вы подошли к спящей девушке и поцеловали ее прямо в губы.	game/Inn/TavernAmandaRoom.rpy	397	"[what]"
TavernAmandaRoomGropeAction_3c18a192		Одной рукой вы начали массировать ее обнаженный клитор, а другой ласкать сисечки.	game/Inn/TavernAmandaRoom.rpy	399	"[what]"
TavernAmandaRoomGropeAction_a12f9b19		Руками же вы начали массировать ее обнаженные сисечки.	game/Inn/TavernAmandaRoom.rpy	401	"[what]"
TavernAmandaRoomGropeAction_ab6e89e8		Проснувшаяся от вашего поцелуя Аманда не казалась через чур уж обескураженной вашим пылом. Тем не менее она все-таки оттолкнула вас, прошептав: 'Стефан, ты что?'	game/Inn/TavernAmandaRoom.rpy	420	"[what]"
TavernAmandaRoomGropeAction_b717b4d2		<br>Увидев, что Аманда настроена вежливо, но решительно дать вам отпор, вы не стали шуметь и спорить, а вернулись в зал.	game/Inn/TavernAmandaRoom.rpy	437	"[what]"
TavernAmandaRoomGropeAction_32f7c636		Аманда, почувствовав ваши прикосновения, раскрыла глаза. 'Ага, заявился, подонок,' не очень-то романтично огорошила вас своенравная девица .	game/Inn/TavernAmandaRoom.rpy	441	"[what]"
TavernAmandaRoomGropeAction_d34d1c9f		Вы открыли рот чтобы оправдаться, но такого шанса вам не дали, не став слушать ваших оправданий Аманда твердо и решительно произнесла: 'Вон отсюда, пока я не закричала.'<br>Вы попробовали еще что-то сказать, но в ответ услышали лишь снова 'Вон!'. Почуствовав твердость в голосе девушки, вы решили попробовать сделать свой заход позже, а пока временно отступить в главный зал.<br>	game/Inn/TavernAmandaRoom.rpy	444	"[what]"
TavernAmandaRoomGropeAction_a6f60588		Аманда, почувствовав ваши прикосновения, раскрыла глаза. 'Ага, хозяин, явился не запылился,' легко разобралась она в ситуации. Однако последующая ее речь вас не сильно обрадовала: 'Значит днем, на людях, ты меня ругаешь, шлюхой походя обзываешь, учишь духовности и целомудрию. А ночью приперся в мою комнату? И зачем приперся? Стихи читать или цены на базаре обсудить? Что-то мне подсказывает что нет,' решительно обличила ваши грязные помыслы Аманда.	game/Inn/TavernAmandaRoom.rpy	451	"[what]"
TavernAmandaRoomGropeAction_50dedb5a		Крыть ее аргументы вам было нечем, но вы все-таки решили попробовать: 'Амандочка, послушай, все совсем не так, на самом деле....'\n'На самом деле что?' и, воспользовавшись тем, что сразу вы не нашлись с ответом, она продолжила: \n-'Нет, это ты меня послушай! Либо ты сейчас берешь свои слова обратно, либо же ты, такой весь из себя правильный, идешь себе восвояси, будем считать что ты приходил проверять не дует ли из окна.'	game/Inn/TavernAmandaRoom.rpy	453	"[what]"
TavernAmandaRoomGropeAction_d6acd7dd		Ваш поцелуй ничуть не обескуражил Аманду. Проснувшись и поняв, что это вы, она не замедлила вернуть вам ваш отнюдь не монашеский поцелуй. И не просто вернуть, а вернуть с душой, чувством и языком.	game/Inn/TavernAmandaRoom.rpy	457	"[what]"
TavernGloryHole_be842aba		Отдельная комната пока недоступна. Сначала закажите и оплатите постройку.	game/Inn/TavernGloryHole.rpy	4	"[what]"
TavernGloryHole_625a9e31		Вы находитесь в отдельной комнате трактира, где расположен глорихол.	game/Inn/TavernGloryHole.rpy	7	"[what]"
TavernGloryHole_c34dcc8b		[navigation_only_message()]	game/Inn/TavernGloryHole.rpy	8	"[what]"
TavernGloryHole_fb7c3ba3		[navigation_only_time_note()]	game/Inn/TavernGloryHole.rpy	9	"[what]"
TavernGloryHole_menu_c724c34b		Вы находитесь в дальнем углу вашего трактира, где, за загородкой сделан глорихол. Посетители, чтобы попасть сюда, должны заплатить 6 мараведи, но к вам, согласно договору, это не относится - под внимательными взглядами ваших матери и сестер вы гордо вошли подошли к глорихолу не платя - это ваше право.	game/Inn/TavernGloryHole.rpy	152	"[what]"
TavernGloryHole_menu_4c8dd5c6		Что вы собираетесь делать?	game/Inn/TavernGloryHole.rpy	153	"[what]"
TavernGloryHole_menu_6c9b0a95		Вспомнив про сделанную мастеровитым гномом возможность обзора, вы решили посмотреть на происходящее инкогнито.	game/Inn/TavernGloryHole.rpy	161	"[what]"
TavernGloryHole_menu_d966c5f6		Вы продолжаете обозревать происходящее внимательным взглядом.	game/Inn/TavernGloryHole.rpy	163	"[what]"
TavernGloryHole_menu_b1b32e11		[GloryLine1]	game/Inn/TavernGloryHole.rpy	166	"[what]"
TavernGloryHole_menu_9ed0bbf5		[GloryLine2]	game/Inn/TavernGloryHole.rpy	168	"[what]"
TavernGloryHole_menu_e1dc8ccf		[GloryLine3]	game/Inn/TavernGloryHole.rpy	170	"[what]"
TavernGloryHole_menu_d0d74d41		Вы решили аккуратно заглянуть за ширмочку и посмотреть на девочку за работой.	game/Inn/TavernGloryHole.rpy	184	"[what]"
TavernGloryHole_menu_f463319a		Вы продолжаете дальше смотреть, как работает очаровательная [RealName.get(GirlNameTGH, GirlNameTGH)].	game/Inn/TavernGloryHole.rpy	186	"[what]"
TavernGloryHole_menu_86908479		[GloryGirlLine0]	game/Inn/TavernGloryHole.rpy	189	"[what]"
TavernGloryHole_menu_1ace11f9		[GloryGirlLine1]	game/Inn/TavernGloryHole.rpy	191	"[what]"
TavernGloryHole_menu_e1c4e54d		[GloryGirlLine2]	game/Inn/TavernGloryHole.rpy	193	"[what]"
TavernGloryHole_menu_1993a364		[GloryGirlLine3]	game/Inn/TavernGloryHole.rpy	195	"[what]"
TavernGloryHole_menu_7c1e359f		Ваша реакция?	game/Inn/TavernGloryHole.rpy	207	"[what]"
TavernGloryHole_menu_08be289e		Вы немного поласкали своего друга, приводя его в боевое состояние, и решительно вставили его в столь привлекательную дырку.	game/Inn/TavernGloryHole.rpy	224	"[what]"
TavernGloryHole_menu_d70d6dd3		[GloryHoleYouLine1]	game/Inn/TavernGloryHole.rpy	225	"[what]"
TavernGloryHole_menu_4af7ad63		[GloryHoleYouLine2]	game/Inn/TavernGloryHole.rpy	234	"[what]"
TavernGloryHole_menu_8affe8f4		[GloryHoleYouLine3]	game/Inn/TavernGloryHole.rpy	243	"[what]"
TavernGloryHole_menu_7c1e359f_1		Ваша реакция?	game/Inn/TavernGloryHole.rpy	249	"[what]"
TavernGloryHole_menu_1ace11f9_1		[GloryGirlLine1]	game/Inn/TavernGloryHole.rpy	268	"[what]"
TavernGloryHole_menu_7c1e359f_2		Ваша реакция?	game/Inn/TavernGloryHole.rpy	271	"[what]"
TavernGloryHole_menu_5e471a1f		Реакция для этой сцены пока недоступна.	game/Inn/TavernGloryHole.rpy	280	"[what]"
TavernKitchenBreakfastTextPage_d51f2c38		[MainTxt]	game/Inn/TavernKitchen.rpy	1775	"[what]"
TavernKitchenSundayDinner_d51f2c38		[MainTxt]	game/Inn/TavernKitchen.rpy	2180	"[what]"
TavernProstClients_87d76119		Вы зашли в соседнюю комнату, где у вас было оборудовано специальное потайное окошко. Через него вам открылся прекрасный вид.	game/Inn/TavernProstClients.rpy	5	"[what]"
TavernProstClients_0ae9bcd0			game/Inn/TavernProstClients.rpy	6	"[what]"
TavernProstClients_d5b4e5a3		Вы видите юную мулатку отсасывающей у какого-то старика. Однако похотливый старикашка не удовлетворяется минетом и просит Лизетту лечь на кровать. Когда же девушка его послушалась, старый козел не колеблясь задрал ей платьице, стащил панталончики и загнал свой член в юную податливую плоть. Однако девчонке, судя по всему, такое пришлось по нраву - она начала с энтузиазмом подмахивать своему годящемуся ей в деды любовнику. Ее усилия не пропали даром - она вскоре кончила. А следом за ней кончил и старик. Мулаточка посмотрела на капающую из нее сперму и на ее мордашке отразилась озабоченность возможными последствиями.	game/Inn/TavernProstClients.rpy	14	"[what]"
TavernProstClients_3af63a53		Вы видите как матрос-негр сел на край кровати и расстегнул штаны, высвобождая свой действительно огромный член. По лицу девочки пробежала тень сомнения, быстро сменившаяся решимостью. Лизетта скинула панталончики, задрала юбочку и села прямо на черный кол. Сначала в девочку вошла только головка, но постепенно в ней оказалась вся жердь. Затем она начинает сначала медленно, а затем все быстрее подниматься и опускаться. Негр не выдерживает ее скачки и начинает накачивать ее семенем. Вслед за ним кончает и Лизетта.	game/Inn/TavernProstClients.rpy	18	"[what]"
TavernProstClients_099216ea		Вы видите как юная Лизетта в очередной раз делает минет почтенному отцу семейства, мессиру Легаре. Виноторговец сначала спокойно сидит на краешке кровати, но вскоре входит в раж, хватает девочку за косички и начинает буквально трахать ее рот. Когда он кончает, мулатка чуть было не давится хлынувшей ей в горло спермой.	game/Inn/TavernProstClients.rpy	22	"[what]"
TavernProstClients_e7bb3630		Вы видите как Лизетта отсасывает сразу у двух городских стражников. Вскоре один разряжается молодой шлюшке в ротик, а другой изукрашивает своей спермой ее смуглую мордашку.	game/Inn/TavernProstClients.rpy	26	"[what]"
TavernProstClients_86549102		Вы видите стоящую раком, оперевшись о спинку кровати, Жоржетту. Ее короткая юбчонка задрана до пояса, а сзади ее наяривает огромный мужик, судя по одежде портовый грузчик. Наконец грузчик разряжается прямо в киску Жоржетты.	game/Inn/TavernProstClients.rpy	33	"[what]"
TavernProstClients_07930d47		Вы видите как лежащую на кровати Жоржетту сношают в два смычка какие-то морячки. Причем тот, который трахает ее в киску - негр. Вдруг тело Жоржетты содрогается в оргазме. Через полминуты кончают и моряки, заливая ротик и киску девушки потоками своей спермы.	game/Inn/TavernProstClients.rpy	37	"[what]"
TavernProstClients_34f45b24		Вы видите как Жоржетта делает минет какому-то пацаненку. Перед самым оргазмом он вытаскивает свой членик и тугая струя измазывает хорошенькое личико Жоржетты.	game/Inn/TavernProstClients.rpy	42	"[what]"
TavernProstClients_b8571fc6		Вы видите голую Жоржетту с рыжим Эдди. Похоже, они играют в какую-то игру.	game/Inn/TavernProstClients.rpy	48	"[what]"
TavernProstClients_3d840d53		Вы видите Жоржетту с вашим знакомцем Эдди, играющих в уже знакомую вам игру.	game/Inn/TavernProstClients.rpy	51	"[what]"
TavernProstClients_004d801f		"Что это, негодный мальчишка? Неужто строгая леди-босс тебя так распалила?!" - восклицает Жоржетта. Эдди смущенно отвечает, и через минуту эта игра заканчивается его бурной разрядкой.	game/Inn/TavernProstClients.rpy	52	"[what]"
TavernProstClients_0ae9bcd0_1			game/Inn/TavernProstClients.rpy	53	"[what]"
TavernProstClients_13ee9e13		"Хм, какой он озорник и фантазер," подумали вы и вернулись в зал трактира.	game/Inn/TavernProstClients.rpy	54	"[what]"
TavernProstClients_e4c64a22		Вы увидели как Эдди в очередной раз трахает Жоржетту. Их разговор быстро свелся к привычным оправданиям, стонам и финальному оргазму.	game/Inn/TavernProstClients.rpy	56	"[what]"
TavernProstClients_0ae9bcd0_2			game/Inn/TavernProstClients.rpy	57	"[what]"
TavernProstClients_16d52e31		"Хм, какой он выдумщик," подумали вы и вернулись в зал трактира.	game/Inn/TavernProstClients.rpy	58	"[what]"
TavernProstClients_57a7eee6		Вы видите как Жоржетта лежит на кровати, откинувшись вниз, а городской стражник трахает ее между грудей. Наконец он разряжается прямо на груди шлюхи.	game/Inn/TavernProstClients.rpy	61	"[what]"
TavernStableRideToKunidell_e8657d43		С утра пораньше вы, 200 мараведи и [MyStallion] отправились к Бекки. Навьючив мешки с овощами на бедную лошадь, вы отправились в путь.	game/Inn/TavernStable.rpy	260	"[what]"
TavernStableWalkToKunidell_ee2c6a6c		Что-то все это предложение Бекки выглядит подозрительно. Решив все как следует выяснить, вы направились в путь пешком.	game/Inn/TavernStable.rpy	271	"[what]"
AfterDanceLegare_b657e765		Вы догнали сладкую парочку и схватили Аманду за руку. Аманда изумленно ахнула, увидев вас. Не дав ей даже рта раскрыть вы стали возмущенно отчитывать виноторговца: "Месье, куда это вы повели Аманду?!	game/NPC/Girls/Amanda/AfterDanceLegare.rpy	7	"[what]"
AfterDanceLegare_fdaf7d0e	extend 	 И это уже ведь не первый раз, как я прошу вас от нее отстать, что вам непонятно?\nА ты?" -обратили вы свое внимание на Аманду. "Я ведь тебе уже раньше говорил, чтобы ты даже не смотрела на него, что, все по нескольку раз повторять нужно?! А ну живо домой!"	game/NPC/Girls/Amanda/AfterDanceLegare.rpy	10	extend "[what]"
AfterDanceLegare_d58ce6e1	extend 	 Я вас настоятельно прошу оставить ее в покое."\nА ты?" -обратили вы свое внимание на Аманду. "Что ты с ним путаешься, куда это он тебя вел? А ну живо домой пошла!"	game/NPC/Girls/Amanda/AfterDanceLegare.rpy	12	extend "[what]"
AfterDanceLegare_7c4918e7		"Тебя если не из глорихола то из под торговца вытаскивать приходиться. Свербит в одном месте? Дома сиди, на кухне посуду мой, потаскуха!" продолжили вы костерить Аманду.	game/NPC/Girls/Amanda/AfterDanceLegare.rpy	15	"[what]"
AfterDanceLegare_84c5f71a		"Думаешь если я смолчал когда тебя у глорихода увидел то ты теперь можешь ноги перед каждым встречным раздвигать, потаскуха?! Свербит в одном месте? Ну на этот раз я уже молчать не буду!" продолжили вы костерить Аманду.	game/NPC/Girls/Amanda/AfterDanceLegare.rpy	17	"[what]"
AfterDanceLegare_360701e2		Аманда расплакалась от вашей отповеди и убежала. Альбер хмуро посмотрел на вас и пошел восовояси. Что же, вы всего лишь сделали то, что были должны сделать, не правда ли?	game/NPC/Girls/Amanda/AfterDanceLegare.rpy	23	"[what]"
AfterDanceLegare_3040d9d6		Аманда мрачно буркнула "Не твое дело, Стефан, пойдем, Альбер," и резким движением выдернула свою руку из вашего хвата.	game/NPC/Girls/Amanda/AfterDanceLegare.rpy	32	"[what]"
AfterDanceLegare_7d4afa54		Нагло смотря вам в глаза Аманда процедила: "Да ты ревнуешь, Стефан! Думаешь что раз я [AmandaArgue1], то теперь на других и смотреть не могу? Чем меня учить и указывать с кем я могу гулять а с кем нет, лучше бы на себя посмотрел, мне свой хрен [AmandaArgue2], а теперь еще моей жизни учишь, тоже мне, учитель выискался!"\nС этими словами она выдернула руку и потянула Альбера за собой.	game/NPC/Girls/Amanda/AfterDanceLegare.rpy	44	"[what]"
AfterDanceLegare_74aeb63d		Будучи огорошенны такой отповедью, вы остались стоять столбом посреди улицы, а Аманда гордо удалилась под ручку с Альбером.	game/NPC/Girls/Amanda/AfterDanceLegare.rpy	54	"[what]"
AfterDanceLegare_2048cb9e		Отповедь Аманды вас смутила, так что вы дали парочке продолжить свой путь, а сами последовали за ними в отдалении. А то мало-ли что?	game/NPC/Girls/Amanda/AfterDanceLegare.rpy	60	"[what]"
AfterDanceLegare_1a7e37e3		Такой отпор вам не понравился, мягко говоря. Эта наглость Аманде с рук сойти не должна, так что вы развернулись, и заоорали: "Стража, стража!"	game/NPC/Girls/Amanda/AfterDanceLegare.rpy	69	"[what]"
AfterDanceLegare_Fight_6f3280c0		Решив, что виной такому поведению Аманды - месье Легаре, вы, без лишних разговоров, заехали ему в челюсть.	game/NPC/Girls/Amanda/AfterDanceLegare.rpy	78	"[what]"
AfterDanceLegare_Fight_da6564ed		Месье отлетел, а вы опять схватили Аманду за руку и утащили рыдающую Аманду в трактир и затолкали ее в комнату. Пусть знают, как спорить с вами!	game/NPC/Girls/Amanda/AfterDanceLegare.rpy	81	"[what]"
AfterDanceLegare_Fight_5ba5c235		Однако месье был готов к такому обороту событий и врасплох вы его застать не смогли. Альбер ловко уклонился и, пользуясь тем, что вы вложили в удар весь свой вес, сделал вам подсечку и заодно заехал по затылку. "А меня-то за что?!" успели подумать вы пока булыжная мостовая летела вам прямо в лицо. Когда вы пришли в себя, ни Легаре, ни Аманды рядом уже не было.	game/NPC/Girls/Amanda/AfterDanceLegare.rpy	98	"[what]"
AfterDanceLegare_Fight_cd08f40c		Альбер ловко уклонился и попробовал сбить вас с ног. Правда, это ему не удалось. Аманда несколько секунд смотрела на вашу драку, а потом закричала: "Стража, стража!"\n\nК вам подошло пара толстых стражей порядка. "Так, так, так, что это у нас тут?" вопросил один из них.\n"Драка? Значит так, господа хорошие, за драку полагается посидеть денек, подумать, но я сегодня добрый, так что предлагаю заменить вам отсидку штрафом." с этими словами страж порядка оглянулся. Убедившись, что других неподкупных слуг закона, кроме него и его напарника, поблизости нет, он продолжил: "Всего 50 мараведи с каждого, платить нужно непосредственно мне и прямо сейчас."\n\n"Конечно, господин сержант," с готовностью ответил месье Легаре и несколько монет поменяло хозяина.	game/NPC/Girls/Amanda/AfterDanceLegare.rpy	112	"[what]"
AfterDanceLegare_Fight_d11ed1df		Вы вынули руку из кармана вместе с искомой суммой, и пожали стражнику его протянутую руку. "Большое вам спасибо, сэр," вежливо сказали вы, слегка поклонившись. "Вам спасибо," ответил слуга закона и пошел своей дорогой. Вы оглянулись, но Аманда с Альбером успели воспользоваться вашим общением со стражей и незаметно исчезнуть.	game/NPC/Girls/Amanda/AfterDanceLegare.rpy	118	"[what]"
AfterDanceLegare_Fight_7dd10c63		Вы непонимающим взглядом уставились на стражников и пожали плечами. "Ну что же, на нет и суда нет," засмеялись они, моментально закрутили вам руки и отвели в кутузку. \nХоть и просидели вы там всего одну ночь, но слухи об этом успели распространиться, к тому же многие видели, как вас вели под конвоем. \nНа репутации вашего заведения это маленькое приключение отразилось не лучшим образом.	game/NPC/Girls/Amanda/AfterDanceLegare.rpy	124	"[what]"
