"Label"	"File"	"Line"	"Lines"	"Media"	"Text"	"Menu"	"Events"
"ForestLake"	"game\Forest\ForestLake.rpy"	"32"	"29"	""	"$ MainTxt = ForestLakeRoom.descriptions[0].text || $ MainTxt = MainTxt + ""\n\nУ воды вы замечаете Клариссу, которая, похоже, решила ненадолго скрыться от городской суеты."" || $ CurLocDesc = MainTxt"	""	""
"ForestSpring"	"game\Forest\ForestSpring.rpy"	"33"	"29"	""	"$ MainTxt = ForestSpringRoom.descriptions[0].text || $ MainTxt = MainTxt + ""\n\nУ родника вы замечаете Клариссу, которая явно наслаждается прохладой и тишиной этого места."" || $ CurLocDesc = MainTxt"	""	""
"ForestWaterfall"	"game\Forest\ForestWaterfall.rpy"	"33"	"24"	""	"$ MainTxt = ForestWaterfallRoom.descriptions[0].text || $ CurLocDesc = MainTxt || $ MainTxt = MainTxt + ""\n\nУ сырых камней можно заметить кое-какую лесную добычу."""	""	""
"Backyard"	"game\Inn\Backyard.rpy"	"161"	"19"	""	"$ MainTxt = backyard_dynamic_text() || $ CurLocDesc = MainTxt"	""	""
"BackyardObjectMenu"	"game\Inn\Backyard.rpy"	"180"	"46"	""	"$ MainTxt = str(display_text or """") || $ CurLocDesc = MainTxt || $ MainTxt = _yard_object.description"	"current_action_items.append(MenuItem(_yard_action.label, Call(""BackyardObjectText"", object_id, _yard_action.action_id))) || current_action_items.append(MenuItem(_yard_action.label, Call(_yard_action.target, *_yard_args))) || current_action_items.append(MenuItem(_yard_action.label, Jump(_yard_action.target)))"	""
"BackyardObjectText"	"game\Inn\Backyard.rpy"	"226"	"21"	""	"MainTxt = _yard_text || CurLocDesc = _yard_text"	""	""
"BackyardToiletExamine"	"game\Inn\Backyard.rpy"	"247"	"10"	""	"$ MainTxt = ""Дверца нужника заперта изнутри. Похоже, там сейчас занято."" || $ MainTxt = ""Дверца нужника приоткрыта. Сейчас внутри свободно, хотя заходить туда без нужды желания не возникает."" || $ CurLocDesc = MainTxt"	""	""
"BackyardWashAtBarrel"	"game\Inn\Backyard.rpy"	"257"	"9"	""	"$ MainTxt = ""Вы умываетесь и наскоро обмываетесь холодной дождевой водой из бочки. Это освежает и помогает привести себя в порядок."" || $ CurLocDesc = MainTxt"	""	""
"BackyardWashAtBarrelWithSoap"	"game\Inn\Backyard.rpy"	"266"	"21"	""	"$ MainTxt = ""У вас нет подходящего мыла."" || $ CurLocDesc = MainTxt || $ MainTxt = ""Вы тщательно моетесь у бочки, не жалея хорошего душистого мыла. Холодная вода бодрит, кожа пахнет чище, и выглядите вы заметно лучше."""	""	""
"BackyardInspectAshBarrel"	"game\Inn\Backyard.rpy"	"287"	"9"	""	"$ MainTxt = backyard_ash_barrel_description_text() or ""Зольной бочки здесь пока нет."" || $ CurLocDesc = MainTxt"	""	""
"BackyardInspectDogBooth"	"game\Inn\Backyard.rpy"	"296"	"9"	""	"$ MainTxt = ""Собачьей будки здесь пока нет."" || $ CurLocDesc = MainTxt"	""	""
"CreateTavernEvents"	"game\Inn\CreateTavernEvents.rpy"	"4"	"3"	""	""	""	""
"EventWineForDance"	"game\Inn\EventWineForDance.rpy"	"39"	"23"	""	"$ MainTxt = _wine_event_text || $ CurLocDesc = MainTxt"	"menu:"	""
"WineForDanceOutcome"	"game\Inn\EventWineForDance.rpy"	"62"	"35"	""	"$ MainTxt = ""Вы решили поддержать народные гуляния."" || $ MainTxt = ""Вы бы были и рады поддержать оные гуляния, но, к сожалению, у вас было недостаточно вина и продуктов для столь благородной затеи."" || $ MainTxt = ""Вы решили что ваши финансы не позволяют участвовать в такой затее."""	"menu:"	""
"HouseholdEvent_Try"	"game\Inn\HouseholdMiniEvents.rpy"	"3"	"19"	""	""	""	""
"HouseholdEvent_KitchenAmandaSandraSpark"	"game\Inn\HouseholdMiniEvents.rpy"	"22"	"43"	""	""	"menu:"	""
"HouseholdEvent_KitchenMelissaPracticalComplaint"	"game\Inn\HouseholdMiniEvents.rpy"	"65"	"33"	""	""	"menu:"	""
"HouseholdEvent_BreakfastSquirrelMockery"	"game\Inn\HouseholdMiniEvents.rpy"	"98"	"37"	""	""	"menu:"	""
"HouseholdEvent_AmandaPrivatePressure"	"game\Inn\HouseholdMiniEvents.rpy"	"135"	"31"	""	""	"menu:"	""
"HouseholdEvent_SandraPrivateCheck"	"game\Inn\HouseholdMiniEvents.rpy"	"166"	"26"	""	""	"menu:"	""
"HouseholdEvent_ThreeWomenConverge"	"game\Inn\HouseholdMiniEvents.rpy"	"192"	"26"	""	""	"menu:"	""
"HouseholdReturnCurrentRoom"	"game\Inn\HouseholdRuntimeEvents.rpy"	"358"	"10"	""	"call TavernKitchenBreakfastShowText(MainTxt, ""TavernKitchenBreakfastMenu"")"	""	""
"HouseholdSoapRequestEvent"	"game\Inn\HouseholdRuntimeEvents.rpy"	"368"	"40"	""	"$ MainTxt = ""Сандра перехватывает вас на минуту и, чуть понизив голос, признает, что хорошее мыло в доме уже распробовали все. \""Если опять надумаешь варить, отложи мне кусок получше. Мне бы что-нибудь %s. После того %s и на кухне приятнее, и самой будто легче дышится,\"" говорит она без обычной суровости."" % (_soap_preferred, _soap_last_label) || $ MainTxt = ""Мелисса, чуть смутившись, спрашивает, не найдется ли у вас еще хорошего мыла. \""После того куска я как-то совсем отвыкла от обычной серой дряни. Если снова сваришь, мне бы %s мыло... вроде того %s. Отложи мне один, ладно?\"""" % (_soap_preferred, _soap_last_label) || $ MainTxt = ""Аманда быстро переходит на заговорщический тон: \""Стефан, если у тебя опять будет %s мыло, не забудь про меня. После того %s и волосы лучше лежат, и сама чувствуешь себя совсем по-другому.\"""" % (_soap_preferred, _soap_last_label)"	"menu:"	""
"HouseholdSoapRequestGiveNow"	"game\Inn\HouseholdRuntimeEvents.rpy"	"408"	"20"	""	"$ MainTxt = ""У вас этого больше нет."" || $ CurLocDesc = MainTxt || $ MainTxt = ""{} принимает подарок сразу, не скрывая удовольствия. {}"".format(str(people_name(_soap_girl, 'nominative', _soap_girl) or _soap_girl), str(_soap_effect.get(""text"", """") or """").strip())"	""	""
"HouseholdBarberRequestEvent"	"game\Inn\HouseholdRuntimeEvents.rpy"	"428"	"30"	""	"$ MainTxt = ""За завтраком вы сами поднимаете разговор о Серджио и предлагаете Сандре сходить к цирюльнику. Она сперва щурится с привычным недоверием, а потом все же кивает: \""Если уж ты решил тянуть трактир вверх, дом тоже должен выглядеть аккуратнее. И да, для трактира это тоже не пустяк: ухоженная хозяйка кухни дому только на пользу.\"""" || $ MainTxt = ""За завтраком вы осторожно предлагаете Мелиссе сходить к Серджио. Она заметно смущается, но не отказывается: \""После хорошей стрижки и всех его притираний, наверное, даже чувствуешь себя иначе. И если я буду выглядеть аккуратнее, то и в зале, и по дому держаться проще.\"""" || $ MainTxt = ""За завтраком вы предлагаете Аманде заглянуть к Серджио. Она оживляется почти сразу: \""Это было бы отлично! Он не только стрижет, он еще знает кучу смешных историй про чулки, нижнее белье и всякие женские хитрости. После такого и в трактире выглядеть веселее, и гостей держать на себе проще.\"""""	"menu:"	""
"SandraDressInitiativeEvent"	"game\Inn\HouseholdRuntimeEvents.rpy"	"458"	"21"	""	"$ MainTxt = ""Сандра, улучив минуту без лишних ушей, задерживает вас у стола и вдруг говорит куда мягче обычного.\n\n\""Слушай, Стефан... после всех этих разговоров о Бекки я тут подумала. Если уж вдова может себе позволить иногда выглядеть поинтереснее, то, может, и мне пора перестать рядиться только в самое практичное. Не в девках ведь дело, а в том, чтобы и на меня иной раз посмотрели как на женщину. Если надумаешь, подбери мне у Ирмы что-нибудь посмелее обычного.\"""" || $ CurLocDesc = MainTxt || $ MainTxt = ""Вы киваете Сандре и обещаете, что в ближайшее время заглянете с ней к Ирме и подберете что-нибудь заметно смелее ее обычных платьев. Сандра делает вид, что это пустяк, но по довольной полуулыбке видно: такой ответ ей пришелся по душе."""	"menu:"	""
"MelissaDressRequestEvent"	"game\Inn\HouseholdRuntimeEvents.rpy"	"479"	"21"	""	"$ MainTxt = ""Мелисса, дождавшись пока вокруг станет потише, смущенно признается: \""Я видела, какой наряд ты выбрал для Сандры. Если уж ей можно что-то посмелее, может и мне когда-нибудь подберешь платье не только для работы, но и чтобы самой себе нравиться?\""\n\nСказав это, она тут же опускает глаза, но по голосу слышно, что мысль ей давно не дает покоя."" || $ CurLocDesc = MainTxt || $ MainTxt = ""Вы обещаете Мелиссе, что не забудете о ее просьбе и подберете у Ирмы что-нибудь похожее, но по ее характеру. Мелисса заметно оживляется и тихо благодарит вас."""	"menu:"	""
"AmandaDressRequestEvent"	"game\Inn\HouseholdRuntimeEvents.rpy"	"500"	"20"	""	"$ MainTxt = ""Аманда сама подскакивает к вам, едва улучив момент. \""Стефан, это нечестно! У Сандры теперь наряд посмелее, Мелиссе ты тоже обещаешь что-то красивое, а я что, хуже? Мне тоже хочется платье, чтобы ахнули, а не только подносы таскать!\""\n\nПохоже, увиденное окончательно раззадорило ее самолюбие."" || $ CurLocDesc = MainTxt || $ MainTxt = ""Вы соглашаетесь, что раз уж в доме одна за другой появляются новые наряды, то и Аманду обделять не стоит. Услышав это, девушка сияет так, будто обновка уже висит у нее в шкафу."""	"menu:"	""
"MelissaRoomPestsEvent"	"game\Inn\HouseholdRuntimeEvents.rpy"	"520"	"26"	""	"$ MainTxt = ""В комнате Мелиссы явно не все спокойно: в углах висит свежая паутина, под потолком шуршат летучие мыши, а сама она сердито косится то на темные балки, то на кровать. \""То крысы внизу, то пауки тут, то опять эти мерзкие крылатые твари над головой,\"" ворчит девушка. \""Ночью от них никакого покоя.\"""" || $ CurLocDesc = MainTxt || $ MainTxt = ""Вы быстро выметаете свежую паутину и наводите в комнате хоть какой-то порядок, но сразу понимаете, что настоящая беда никуда не делась. Под крышей по-прежнему шуршит и скребется вся та дрянь, с которой придется разбираться уже через чердак и щели под кровлей."""	"menu:"	""
"HouseholdMorningIssueCure"	"game\Inn\HouseholdRuntimeEvents.rpy"	"546"	"26"	""	"$ MainTxt = ""Без лечебного зелья тут пока не обойтись."" || $ CurLocDesc = MainTxt || $ MainTxt = ""%s с благодарностью принимает лечебное зелье. Через несколько минут ей заметно легчает, и она уже выглядит так, будто сможет вернуться к обычным делам."" % _action_display_name(_issue_girl)"	""	""
"HouseholdMorningIssueWarmDrink"	"game\Inn\HouseholdRuntimeEvents.rpy"	"572"	"28"	""	"$ MainTxt = ""Сандра сначала кривится на саму идею пряной настойки с утра, но все же делает несколько осторожных глотков. Напиток быстро разгоняет холод по телу, и хозяйка уже не так сурово ворчит, признавая, что от такого внимания ей и правда легче."" || $ MainTxt = ""Мелисса принимает пряную настойку обеими руками и пьет медленно, будто растягивает не столько тепло, сколько саму вашу заботу. Через несколько минут она выглядит живее, хотя и признает, что ей все равно лучше отлежаться еще немного."" || $ MainTxt = ""Аманда с готовностью хватается за пряную настойку и почти сразу оживляется. \""Ну вот, совсем другое дело,\"" заявляет она, явно наслаждаясь не только теплом в груди, но и самим поводом получить от вас чуть больше внимания."""	""	""
"HouseholdAmandaFakeSicknessWake"	"game\Inn\HouseholdRuntimeEvents.rpy"	"600"	"18"	""	"$ MainTxt = ""Вы не спорите у двери, а спокойно садитесь рядом и просите Аманду хотя бы раз сказать честно, плохо ей или просто не хочется вставать. Она сперва обиженно сопит, потом все же сдается: \""Ладно... больше лени, чем болезни.\"" Через несколько минут она уже нехотя натягивает платье и обещает выйти к общему столу."" || $ MainTxt = ""Вы резко пресекаете Амандину \""болезнь\"" и велите ей подниматься. Она фыркает, жалуется на жестокость и нарочно долго возится с одеждой, но все же встает. Похоже, сегодня это было скорее представление, чем настоящая слабость."" || $ CurLocDesc = MainTxt"	""	""
"HouseholdWakeSleepyGirl"	"game\Inn\HouseholdRuntimeEvents.rpy"	"618"	"55"	""	"$ MainTxt = ""Вы осторожно будите Сандру. Та сначала недовольно морщится, потом резко собирается, будто сама сердится не на вас, а на то, что дала себе лишнюю слабину."" || $ MainTxt = str(MainTxt or """") + ""\nПока Сандра поднималась, вы невольно успели заметить, что рубаха на ней сбилась куда выше приличного. Поймав ваш взгляд, она без лишней суеты поправляет ткань, но в ее лице на миг мелькает совсем не хозяйская, а женская неловкость."" || $ MainTxt = str(MainTxt or """") + ""\nСандра успевает заметить и вашу слишком уж явную выпуклость под одеждой. Вместо скандала она только сухо хмыкает: \""Вот и думай после этого, кто тут проспал по-настоящему.\"""""	""	""
"MelissaNightWakeEvent"	"game\Inn\HouseholdRuntimeEvents.rpy"	"673"	"24"	""	"$ MainTxt = ""Вы уже почти проваливаетесь в сон, когда в дверь осторожно, но настойчиво стучат. На пороге оказывается встревоженная Мелисса: то ли в ее комнате снова шуршит какая-то дрянь под потолком, то ли из темного угла опять выскочила крыса. Одной ей туда возвращаться совсем не хочется."" || $ CurLocDesc = MainTxt || $ MainTxt = ""Вы поднимаетесь вместе с Мелиссой, быстро прогоняете ночную дрянь из ее комнаты и помогаете ей успокоиться. На прощание она благодарит вас уже куда мягче обычного: видно, что такая помощь ей важна."""	"menu:"	""
"Intro"	"game\Inn\Intro.rpy"	"5"	"34"	""	"MainTxt = _intro_notice + ""\n\n"" + _intro_story"	"menu:"	""
"dev_after_report_checkpoint"	"game\Inn\Intro.rpy"	"39"	"6"	""	""	""	""
"Shed"	"game\Inn\Shed.rpy"	"144"	"25"	""	"$ MainTxt = build_shed_description(True, _shed_intro) || $ CurLocDesc = MainTxt"	""	""
"ShedStoreLumber"	"game\Inn\Shed.rpy"	"169"	"39"	""	"$ MainTxt = ""У вас нет бревен, которые можно сложить в сарае."" || $ CurLocDesc = MainTxt || $ MainTxt = build_shed_description(True, """")"	""	""
"ShedTakeChoppedWood"	"game\Inn\Shed.rpy"	"208"	"25"	""	"$ MainTxt = build_shed_description(True, """") || $ CurLocDesc = MainTxt"	""	""
"ShedExamine"	"game\Inn\Shed.rpy"	"233"	"12"	""	"$ MainTxt = ""Вы внимательно осматриваете сарай и, пошарив под старыми досками и тряпьем, находите крепкое хозяйственное ведро."" || $ MainTxt = build_shed_description(False, ""Вы внимательно осматриваете сарай."") || $ CurLocDesc = MainTxt"	""	""
"TavernAmandaRoom"	"game\Inn\TavernAmandaRoom.rpy"	"267"	"38"	"vscene _amanda_room_picture || vscene _amanda_room_picture"	"$ MainTxt = ""Дверь закрыта изнутри. За ней слышны приглушенные голоса, шорох и короткий смешок."" || $ CurLocDesc = MainTxt || $ MainTxt = tavern_amanda_room_main_text(_room, _amanda_sleep_dress)"	"$ current_action_items = [MenuItem(""Вернуться в коридор"", movement_actions(""TavernUpstairs""))]"	"if story_event_available(CurLoc, ""melissa_bats""): || call checkTriggers(CurLoc, ""melissa_bats"", 0)"
"TavernAmandaRoomDoor"	"game\Inn\TavernAmandaRoom.rpy"	"305"	"21"	""	"$ MainTxt = ""Вы стоите перед дверью комнаты Аманды."" || $ CurLocDesc = MainTxt"	"menu:"	""
"TavernAmandaRoomKnock"	"game\Inn\TavernAmandaRoom.rpy"	"326"	"41"	""	"$ MainTxt = ""Вы стучите в дверь комнаты Аманды, но ответа не слышно."" || $ CurLocDesc = MainTxt || $ MainTxt = ""Вы стучите в дверь. Через несколько секунд Аманда отвечает: \""Войдите.\"""""	"menu: || menu:"	""
"TavernAmandaRoomKnockAnswer"	"game\Inn\TavernAmandaRoom.rpy"	"367"	"26"	""	"$ MainTxt = ""Вы называете себя, но за дверью все равно тихо."" || $ CurLocDesc = MainTxt || $ MainTxt = ""Вы называете себя. За дверью слышится короткая возня, потом Аманда отвечает: \""Хорошо, входите.\"""""	"menu: || menu:"	""
"TavernAmandaRoomEnterWithoutKnock"	"game\Inn\TavernAmandaRoom.rpy"	"393"	"22"	""	"$ MainTxt = ""Вы открываете дверь без стука. Аманда сидит на кровати и торопливо пытается прикрыться, на лице у нее тяжелый румянец.\n\n\""Ох... доброе утро, мессир Стефан. В следующий раз вам стоит постучать,\"" выдыхает она, явно сбитая с толку."" || $ MainTxt = MainTxt + ""\n\n"" + _amanda_dress_text || $ CurLocDesc = MainTxt"	"menu:"	""
"TavernAmandaRoomApologizeForEntry"	"game\Inn\TavernAmandaRoom.rpy"	"415"	"9"	""	"$ MainTxt = ""Вы извиняетесь и отступаете к двери, давая Аманде возможность прийти в себя. Она все еще краснеет, но коротко кивает, принимая извинение."" || $ CurLocDesc = MainTxt"	""	""
"tavern_amanda_room_object_menu"	"game\Inn\TavernAmandaRoom.rpy"	"424"	"34"	""	"$ MainTxt = bedroom_door_object_text(_room_object) || $ CurLocDesc = MainTxt"	"current_action_items.append(MenuItem(_room_action.label, Call(""tavern_amanda_room_object_text"", object_id, _room_action.action_id))) || current_action_items.append(MenuItem(_room_action.label, Call(_room_action.target, *_room_args))) || current_action_items.append(MenuItem(_room_action.label, Jump(_room_action.target)))"	""
"tavern_amanda_room_object_text"	"game\Inn\TavernAmandaRoom.rpy"	"458"	"19"	""	"MainTxt = _room_text || CurLocDesc = _room_text"	""	""
"TavernAmandaRoomWindowLook"	"game\Inn\TavernAmandaRoom.rpy"	"477"	"9"	""	"$ MainTxt = tavern_amanda_room_window_scene_text() || $ CurLocDesc = MainTxt"	"$ current_action_items = [MenuItem(""Назад"", Call(""tavern_amanda_room_object_menu"", ""window""))]"	""
"TavernAmandaRoomMorningWindowEpisode"	"game\Inn\TavernAmandaRoom.rpy"	"486"	"35"	""	"$ MainTxt = ""Аманда не спит. Вы застаете ее у окна ровно в тот момент, когда она резко отдергивает руку от занавески и пытается сделать вид, будто просто смотрела во двор.\n\n\""Ну что, Аманда? Кто у нас теперь извращенец?\"" спрашиваете вы.\n\nОна вспыхивает, но не уходит от ответа: \""Ничего не могу поделать... иногда так зудит, что хоть на стену лезь.\"" Вы спокойно отвечаете: \""Могу помочь, если хочешь.\"""" || $ CurLocDesc = MainTxt || $ MainTxt = ""После этого Аманда уже не спорит насчет окна. Она только быстро приводит себя в порядок и, все еще краснея, просит не разносить эту сцену по всему дому."""	""	""
"story_amanda_room_grope_0"	"game\Inn\TavernAmandaRoom.rpy"	"521"	"5"	""	""	""	""
"TavernAmandaRoomGropeAction"	"game\Inn\TavernAmandaRoom.rpy"	"526"	"71"	"call ShowImage(""amanda"", ""room"", ""wakenaked"") || call ShowImage(""amanda"", ""room"", ""wakedress"")"	""	""	""
"TavernAtic"	"game\Inn\TavernAtic.rpy"	"86"	"17"	""	"$ MainTxt = TavernAticRoom.descriptions[0].text || $ CurLocDesc = MainTxt"	""	""
"TavernAticSearch"	"game\Inn\TavernAtic.rpy"	"103"	"15"	""	"$ MainTxt = ""Вы долго роетесь среди ящиков, тряпья и обломков мебели. В дальнем углу под кучей пыли находятся {b}очень старая книга с рецептами{/b}, {b}ржавая охотничья винтовка-арбалет{/b} и {b}старый кожаный кирас{/b}."" || $ MainTxt = ""Вы снова шевелите старый хлам, но больше ничего ценного не обнаруживаете."" || $ CurLocDesc = MainTxt"	""	""
"TavernAticSupplySearch"	"game\Inn\TavernAtic.rpy"	"118"	"13"	""	"$ MainTxt = ""Вы снова перетряхиваете старый хлам и в дальнем ящике находите завернутые в промасленную тряпку припасы: {b}дробь{/b} и {b}порох{/b}. Этого хватит примерно на пять хороших выстрелов. Вы сразу забираете находку с собой."" || $ MainTxt = ""После второго тщательного обыска чердак больше ничем полезным не радует."" || $ CurLocDesc = MainTxt"	""	""
"MelissaAtticColonySearch"	"game\Inn\TavernAtic.rpy"	"131"	"13"	"vscene ""images/player_room/player_room_attic_1.png"""	"$ MainTxt = ""Вы медленно обходите чердак вдоль стропил и почти сразу замечаете над той частью дома, где спит Мелисса, старые щели между досками и темные ходы в подгнившей обшивке. Значит, подозрение было верным: снизу она видела не просто трещины в потолке, а настоящий выход под самую крышу.\n\nЕще через пару шагов находится и главная причина ночного шума. Под самой кровлей набилось сухое гнездовое тряпье, комки мха, помет и целая дрянная колония, давно обжившая балки и пустоты под крышей. Теперь ясно, почему внизу по ночам все шуршит и пищит. Одним веником тут не обойтись: сначала эту пакость придется выкурить дымом, а потом уже по-настоящему заделывать щели и приводить крышу в порядок."" || $ CurLocDesc = MainTxt"	""	""
"MelissaAtticWindowPeek"	"game\Inn\TavernAtic.rpy"	"144"	"19"	""	"$ MainTxt = ""Раздвинув старое тряпье и осторожно пригнувшись, вы находите маленькое слуховое окно над стороной дома, где расположена комната Аманды. Сквозь мутное стекло и щели в раме открывается слишком уж ясный вид на соседний двор.\n\n"" + attic_neighbor_sex_scene_text() + "" Вы невольно задерживаетесь у окна дольше, чем следовало бы."" || $ CurLocDesc = MainTxt"	"menu:"	"call checkTriggers(""TavernAtic"", ""melissa_bats"", 0)"
"MelissaBurnAtticColony"	"game\Inn\TavernAtic.rpy"	"163"	"14"	""	"$ MainTxt = ""Вы раскладываете дымную смесь между балок, даете ей как следует разгореться и быстро отступаете. Чердак наполняется густым едким дымом из мха, лаванды и трав. Из-под крыши с писком и хлопаньем вырываются летучие мыши, а мышиная дрянь начинает в панике разбегаться по щелям.\n\nГнездовище вы наконец выкурили, но на одном дыме дело не закончится: пока крышу не заделают как следует, щели останутся и вся пакость со временем полезет обратно."" || $ CurLocDesc = MainTxt"	""	""
"MelissaOrderRoofRepair"	"game\Inn\TavernAtic.rpy"	"177"	"20"	""	"$ MainTxt = ""На починку крыши сейчас не хватает денег."" || $ CurLocDesc = MainTxt || $ MainTxt = ""Вы договариваетесь о починке старой крыши и отдаете за работу тысячу монет. Теперь остается только дождаться, пока мастера перетянут гнилые доски, забьют щели и приведут верх трактира в порядок. Обещают управиться за пару дней."""	""	"$ story_thread_advance_current()"
"MelissaCheckRoofRepair"	"game\Inn\TavernAtic.rpy"	"197"	"18"	""	"$ MainTxt = ""Теперь все видно сразу: крыша над комнатой Мелиссы наконец подлатана, щели закрыты, а прежнее гнездовище выжжено и вычищено. Похоже, на этот раз проблема действительно решена."" || $ CurLocDesc = MainTxt || $ MainTxt = ""Работа над крышей еще не закончена. Придется подождать еще примерно {} дн."".format(_days_left)"	""	""
"TavernAticObjectMenu"	"game\Inn\TavernAtic.rpy"	"215"	"39"	""	"$ MainTxt = str(_atic_item.description or """") || $ MainTxt = MainTxt + ""\n\nЗдесь лежит несколько одинаковых предметов: {}."".format(_room_item_count_by_id(TavernAticRoom, object_id)) || $ CurLocDesc = MainTxt"	"current_action_items.append(MenuItem(_atic_action.label, Call(""TavernAticObjectText"", object_id, _atic_action.action_id))) || current_action_items.append(MenuItem(_atic_action.label, Call(_atic_action.target, *_atic_args))) || current_action_items.append(MenuItem(_atic_action.label, Jump(_atic_action.target)))"	""
"TavernAticObjectText"	"game\Inn\TavernAtic.rpy"	"254"	"16"	""	"MainTxt = _atic_text || CurLocDesc = _atic_text"	""	""
"BedroomDoorInspect"	"game\Inn\TavernBedroomDoors.rpy"	"71"	"10"	""	"$ MainTxt = bedroom_door_status_text(room_code, owner_name) || $ CurLocDesc = MainTxt"	""	""
"TavernEmptyRoom"	"game\Inn\TavernEmptyRoom.rpy"	"73"	"15"	""	"$ MainTxt = TavernEmptyRoomRoom.descriptions[0].text || $ CurLocDesc = MainTxt"	""	""
